publicIP,FlowID,SrcIP,SrcPort,DstIP,DstPort,Protocol,Timestamp,FlowDuration,TotFwdPkts,TotBwdPkts,TotLenFwdPkts,TotLenBwdPkts,FwdPktLenMax,FwdPktLenMin,FwdPktLenMean,FwdPktLenStd,BwdPktLenMax,BwdPktLenMin,BwdPktLenMean,BwdPktLenStd,FlowByts/s,FlowPkts/s,FlowIATMean,FlowIATStd,FlowIATMax,FlowIATMin,FwdIATTot,FwdIATMean,FwdIATStd,FwdIATMax,FwdIATMin,BwdIATTot,BwdIATMean,BwdIATStd,BwdIATMax,BwdIATMin,FwdPSHFlags,BwdPSHFlags,FwdURGFlags,BwdURGFlags,FwdHeaderLen,BwdHeaderLen,FwdPkts/s,BwdPkts/s,PktLenMin,PktLenMax,PktLenMean,PktLenStd,PktLenVar,FINFlagCnt,SYNFlagCnt,RSTFlagCnt,PSHFlagCnt,ACKFlagCnt,URGFlagCnt,CWEFlagCount,ECEFlagCnt,Down/UpRatio,PktSizeAvg,FwdSegSizeAvg,BwdSegSizeAvg,FwdByts/bAvg,FwdPkts/bAvg,FwdBlkRateAvg,BwdByts/bAvg,BwdPkts/bAvg,BwdBlkRateAvg,SubflowFwdPkts,SubflowFwdByts,SubflowBwdPkts,SubflowBwdByts,InitFwdWinByts,InitBwdWinByts,FwdActDataPkts,FwdSegSizeMin,ActiveMean,FlowLabel,IPLabel,ActiveStd,ActiveMax,ActiveMin,IdleMean,IdleStd,IdleMax,IdleMin,IPlabel
255.255.255.255,0.0.0.0-255.255.255.255-68-67-17,0.0.0.0,68,255.255.255.255,67,17,2018-09-14 18:40:27,59367988.0,8,0,2848,0,356.0,356.0,356.0,0.0,0.0,0.0,0.0,0.0,47.971981128954546,0.1347527559802094,8481141.142857144,5160541.506891347,16435430.0,519418.0,59367988.0,8481141.142857144,5160541.506891347,16435430.0,519418.00000000006,0.0,0.0,0.0,0.0,0.0,0,0,0,0,64,0,0.1347527559802094,0.0,356,356,356.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,356.0,356.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,2848,0,0,0,0,8,8,9817032.0,0,1,6098980.0,15916012.0,3718052.0,6522524.2,5054505.497862571,16435430.0,2469461.0,1
255.255.255.255,0.0.0.0-255.255.255.255-68-67-17,0.0.0.0,68,255.255.255.255,67,17,2018-09-14 18:46:29,132054323.0,21,0,7594,0,418.0,356.0,361.6190476190476,17.343795900431594,0.0,0.0,0.0,0.0,57.50663687094893,0.1590254640887447,6602716.15,4375224.8691906715,14965148.0,557905.0,132054323.0,6602716.15,4375224.869190671,14965148.0,557905.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,168,0,0.1590254640887447,0.0,356,418,361.6190476190476,17.343795900431594,300.80725623582777,0,0,0,0,0,0,0,0,0.0,361.6190476190476,361.6190476190476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,7594,0,0,0,0,21,8,8323806.5,0,1,4760521.675289039,11403898.0,85978.0,3565540.076923077,3564267.0311565185,12500102.0,101956.0,1
255.255.255.255,0.0.0.0-255.255.255.255-68-67-17,0.0.0.0,68,255.255.255.255,67,17,2018-09-14 18:48:44,40265957.0,6,0,2136,0,356.0,356.0,356.0,0.0,0.0,0.0,0.0,0.0,53.04729253051157,0.1490092486812122,8053191.4,3185703.116420901,13228237.0,3895196.0,40265957.0,8053191.4,3185703.116420901,13228237.0,3895196.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,48,0,0.1490092486812122,0.0,356,356,356.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,356.0,356.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,2136,0,0,0,0,6,8,0.0,1,1,0.0,0.0,0.0,2645647.4,1337141.075786336,4204798.0,593232.0,1
255.255.255.255,0.0.0.0-255.255.255.255-68-67-17,0.0.0.0,68,255.255.255.255,67,17,2018-09-14 18:54:29,129762923.0,16,0,5696,0,356.0,356.0,356.0,0.0,0.0,0.0,0.0,0.0,43.89543537024054,0.1233017847478667,8650861.533333333,5897103.36221371,20736632.0,2307408.0,129762923.0,8650861.533333333,5897103.36221371,20736632.0,2307408.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,128,0,0.1233017847478667,0.0,356,356,356.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,356.0,356.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,5696,0,0,0,0,16,8,16878174.5,1,1,390363.5,17268538.0,16487811.0,5414025.777777778,3656526.2219553497,13341167.0,1588554.0,1
255.255.255.255,0.0.0.0-255.255.255.255-68-67-17,0.0.0.0,68,255.255.255.255,67,17,2018-09-14 18:56:44,39290856.0,7,0,2492,0,356.0,356.0,356.0,0.0,0.0,0.0,0.0,0.0,63.42442628381525,0.1781585007972338,6548476.0,2917918.6016284507,12709967.0,3558875.0,39290856.0,6548476.0,2917918.6016284507,12709967.0,3558875.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,56,0,0.1781585007972338,0.0,356,356,356.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,356.0,356.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,2492,0,0,0,0,7,8,0.0,1,1,0.0,0.0,0.0,2541993.4,2293250.654544383,6532515.0,122797.0,1
255.255.255.255,0.0.0.0-255.255.255.255-68-67-17,0.0.0.0,68,255.255.255.255,67,17,2018-09-14 19:01:12,2042592.0,2,0,684,0,342.0,342.0,342.0,0.0,0.0,0.0,0.0,0.0,334.8686374958876,0.9791480628534724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,16,0,0.9791480628534724,0.0,342,342,342.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,342.0,342.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,684,0,0,0,0,2,8,0.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
255.255.255.255,0.0.0.0-255.255.255.255-68-67-17,0.0.0.0,68,255.255.255.255,67,17,2018-09-14 19:02:29,72403281.0,12,0,4272,0,356.0,356.0,356.0,0.0,0.0,0.0,0.0,0.0,59.002850989584296,0.1657383454763603,6582116.454545454,3177805.9466688465,12136002.0,2923608.0,72403281.0,6582116.454545454,3177805.9466688465,12136002.0,2923608.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,96,0,0.1657383454763603,0.0,356,356,356.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,356.0,356.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,4272,0,0,0,0,12,8,0.0,1,1,0.0,0.0,0.0,2791666.5714285714,1728394.851402625,6403990.0,85979.0,1
255.255.255.255,0.0.0.0-255.255.255.255-68-67-17,0.0.0.0,68,255.255.255.255,67,17,2018-09-14 19:03:59,84511942.0,14,0,4956,0,356.0,342.0,354.0,4.898979485566356,0.0,0.0,0.0,0.0,58.64259988251128,0.1656570618150036,6500918.615384615,4496494.283898095,16864880.0,1001928.0,84511942.0,6500918.615384615,4496494.283898094,16864880.0,1001928.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,112,0,0.1656570618150036,0.0,342,356,354.0,4.898979485566356,24.0,0,0,0,0,0,0,0,0,0.0,354.0,354.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,4956,0,0,0,0,14,8,3983835.3333333335,0,1,3235112.9386398387,8297095.000000001,505927.0,4116626.5714285714,2270915.866894982,7144510.0,987336.0,1
255.255.255.255,0.0.0.0-255.255.255.255-68-67-17,0.0.0.0,68,255.255.255.255,67,17,2018-09-14 19:10:29,122731954.0,17,0,6038,0,356.0,342.0,355.1764705882353,3.294117647058824,0.0,0.0,0.0,0.0,49.19664197638375,0.1385132351107194,7670747.125,4362138.740988686,18727252.0,1645367.0,122731954.0,7670747.125,4362138.740988686,18727252.0,1645367.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,136,0,0.1385132351107194,0.0,342,356,355.1764705882353,3.294117647058824,10.85121107266436,0,0,0,0,0,0,0,0,0.0,355.1764705882353,355.1764705882353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,6038,0,0,0,0,17,8,9361814.666666666,1,1,4209665.11547204,15177558.0,5351778.0,4018918.3,2165716.6360572684,8242506.0,1462096.0,1
255.255.255.255,0.0.0.0-255.255.255.255-68-67-17,0.0.0.0,68,255.255.255.255,67,17,2018-09-14 19:12:44,39739791.0,5,0,1780,0,356.0,356.0,356.0,0.0,0.0,0.0,0.0,0.0,44.79137799189734,0.1258184775053296,9934947.75,5773331.936451661,17989644.0,3757475.0,39739791.0,9934947.75,5773331.936451661,17989644.0,3757475.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,0,0.1258184775053296,0.0,356,356,356.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,356.0,356.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,1780,0,0,0,0,5,8,0.0,1,1,0.0,0.0,0.0,4497411.0,2214355.2380497805,7553034.0,1462344.0,1
